tile_index,ra,dec
102023480,64.2023187,-46.0
102023480,64.2023187,-46.0
102023480,64.2023187,-46.0
102023480,64.2023187,-46.0
102023481,64.88374411673,-46.0
102023481,64.88374411673,-46.0
102023481,64.88374411673,-46.0
102023481,64.88374411673,-46.0
102023482,65.6290369,-46.00695
102023482,65.6290369,-46.00695
102023482,65.6290369,-46.00695
102023482,65.6290369,-46.00695
102023982,61.51829,-45.5
102023982,61.51829,-45.5
102023982,61.51829,-45.5
102023982,61.51829,-45.5
102023983,62.2253967,-45.5
102023983,62.2253967,-45.5
102023983,62.2253967,-45.5
102023983,62.2253967,-45.5
102023984,62.9325035,-45.50415
102023984,62.9325035,-45.50415
102023984,62.9325035,-45.50415
102023984,62.9325035,-45.50415
102023985,63.6396103,-45.5
102023985,63.6396103,-45.5
102023985,63.6396103,-45.5
102023985,63.6396103,-45.5
102023986,64.3467171,-45.5
102023986,64.3467171,-45.5
102023986,64.3467171,-45.5
102023986,64.3467171,-45.5
102023987,65.0538239,-45.5
102023987,65.0538239,-45.5
102023987,65.0538239,-45.5
102023987,65.0538239,-45.5
102041031,51.9615242,-30.5
102041031,51.9615242,-30.5
102041031,51.9615242,-30.5
102041031,51.9615242,-30.5
102041032,52.5388745,-30.5
102041032,52.5388745,-30.5
102041032,52.5388745,-30.5
102041032,52.5388745,-30.5
102041033,53.1162248,-30.5
102041033,53.1162248,-30.5
102041033,53.1162248,-30.5
102041033,53.1162248,-30.5
102041655,51.7029994,-30.0
102041655,51.7029994,-30.0
102041655,51.7029994,-30.0
102041655,51.7029994,-30.0
102041656,52.2774771,-30.0
102041656,52.2774771,-30.0
102041656,52.2774771,-30.0
102041656,52.2774771,-30.0
102041657,52.8519549,-29.97485
102041657,52.8519549,-29.97485
102041657,52.8519549,-29.97485
102041657,52.8519549,-29.97485
102041658,53.4264327,-30.0
102041658,53.4264327,-30.0
102041658,53.4264327,-30.0
102041658,53.4264327,-30.0
102041659,54.0009105,-30.0293
102041659,54.0009105,-30.0293
102041659,54.0009105,-30.0293
102041659,54.0009105,-30.0293
102042282,51.4509331,-29.5
102042282,51.4509331,-29.5
102042282,51.4509331,-29.5
102042282,51.4509331,-29.5
102042283,52.0226101,-29.5
102042283,52.0226101,-29.5
102042283,52.0226101,-29.5
102042283,52.0226101,-29.5
102042284,52.5942871,-29.5
102042284,52.5942871,-29.5
102042284,52.5942871,-29.5
102042284,52.5942871,-29.5
102042285,53.1659642,-29.5
102042285,53.1659642,-29.5
102042285,53.1659642,-29.5
102042285,53.1659642,-29.5
102042286,53.7376412,-29.5
102042286,53.7376412,-29.5
102042286,53.7376412,-29.5
102042286,53.7376412,-29.5
102042287,54.3093182,-29.5
102042287,54.3093182,-29.5
102042287,54.3093182,-29.5
102042287,54.3093182,-29.5
102042288,54.8809953,-29.5
102042288,54.8809953,-29.5
102042288,54.8809953,-29.5
102042288,54.8809953,-29.5
102042289,55.4526723,-29.5
102042289,55.4526723,-29.5
102042289,55.4526723,-29.5
102042289,55.4526723,-29.5
102042912,51.2051932,-29.0
102042912,51.2051932,-29.0
102042912,51.2051932,-29.0
102042912,51.2051932,-29.0
102042913,51.7741397,-29.0
102042913,51.7741397,-29.0
102042913,51.7741397,-29.0
102042913,51.7741397,-29.0
